antibiotic_id,organism_id,resistance_pct,n_isolates
AMCL,ECOLI,28.1,976
AMCL,ENTFAE,1.0,399
AMCL,KLEBPN,19.9,282
AMCL,KLEOXY,20.7,111
AMCL,PROMIR,9.0,222
AMCL,STAEPI,70.0,676
AMCL,STAPHAUR,5.6,658
AMCL,STRPNE,0.0,52
AMIK,ECOLI,50.0,101
AMIK,PSEAER,1.8,337
AMPI,ECOLI,48.3,1757
AMPI,ENTFAE,0.9,637
AMPI,ENTFAI,97.0,101
AMPI,PROMIR,27.3,411
AMSU,ECOLI,44.5,908
AMSU,ENTFAE,0.8,252
AMSU,ENTFAI,96.2,53
AMSU,KLEBPN,33.3,469
AMSU,KLEOXY,28.5,284
AMSU,PROMIR,11.8,211
AMSU,STAEPI,66.0,538
AMSU,STAPHAUR,8.7,643
AZIT,STAEPI,67.9,389
AZIT,STAPHAUR,20.7,275
AZTR,PSEAER,15.0,267
CEFE,ECOLI,11.3,344
CEFE,KLEBPN,11.9,126
CEFE,KLEOXY,3.2,62
CEFE,PROMIR,3.8,80
CEFE,PSEAER,13.8,457
CEFO,CITFRE,34.1,85
CEFO,ECOLI,10.0,1685
CEFO,ENTCLO,34.1,417
CEFO,KLEBPN,13.5,687
CEFO,KLEOXY,3.6,359
CEFO,MORMOR,30.2,106
CEFO,PROMIR,1.8,395
CEFO,SERMAR,10.7,253
CEFO,STAEPI,98.0,253
CEFO,STAPHAUR,9.3,108
CEFT,CITFRE,35.1,97
CEFT,ECOLI,10.1,1769
CEFT,ENTCLO,35.1,441
CEFT,KLEBPN,16.4,727
CEFT,KLEOXY,4.2,382
CEFT,MORMOR,23.9,117
CEFT,PROMIR,1.2,411
CEFT,PSEAER,18.8,778
CEFT,SERMAR,9.5,273
CEFU,ECOLI,16.1,1411
CEFU,KLEBPN,20.3,464
CEFU,KLEOXY,18.9,249
CEFU,PROMIR,4.4,297
CEFU,STAEPI,70.8,691
CEFU,STAPHAUR,7.2,597
CEFU,STRPNE,0.0,51
CEFX,CITFRE,37.8,74
CEFX,ECOLI,8.3,1306
CEFX,ENTCLO,33.8,379
CEFX,KLEBPN,17.7,577
CEFX,KLEOXY,5.4,313
